IEA,termos
1.1,"""motor""                 ""maquina eletrica""      ""equipamento""           ""sistema eletrico""     
""aparelho""              ""etiquetagem""           ""metrologia""            ""processo industr""     
""eficiencia energetica"" ""eficiencia""            ""injetora""              ""processo""             
""energ""                 ""industr""               ""refrigeracao"""
1.2,"""conforto termico""   ""edificio""           ""edificao""           ""conforto ambiental""
""habita""             ""iluminacao""         ""lampada""            ""led""               
""resfriamento""       ""refrigeracao""       ""compressor""         ""bomba de calor""    
""eficiencia""         ""etiquetagem"""
1.3,"""bateria""           ""transporte""        ""veiculo""           ""veiculo eletrico."" ""motor""            
""gasolina""          ""diesel""            ""etanol""            ""eficiente"""
1.4,"""eficiencia"" ""energetica"""
2.1,"""petroleo""               ""oleo""                   ""gas natural""            ""gas""                   
""xisto betuminoso""       ""hidrocarboneto""         ""offshore""               ""plataforma de petr.leo""
""semissubmersivel""       ""fpso""                   ""arvore de natal""        ""construco naval""       
""reservatorio""           ""recuperacao avan.ada""   ""geoengenharia""          ""escoamento""            
""bombeamento""            ""risers""                 ""refino""                 ""derivado de petroleo""  
""gasolina""               ""oleo diesel""            ""nafta""                  ""combustao""             
""petroleo""               ""gas natural""            ""derivado de petroleo""   ""turbina a gas""         
""turbina a vapor""        ""turbina de avi.o""       ""gerador a diesel""       ""dutos""                 
""oleodutos""              ""tanques""                ""gasodutos""              ""gnl""                   
""armazenamento""          ""petroleo""               ""gas natural""            ""derivado de petroleo""  

"
2.2,"""carvao""         ""carvao mineral"" ""combustao""      ""carvao""         ""conversao""      ""carvao""        
"
2.3,"""co2""           ""captura""       ""separacao""     ""escoamento""    ""armazenamento"""
3.1,"""solar""                ""energia""              ""aquecimento""          ""arrefecimento""       
""termica""              ""concentrador""         ""fotovoltaica""         ""celula solar""        
""modulo fotovoltaico""  ""sistema fotovoltaico"" ""heliotermica""         ""aplicao""             
""alta""                 ""temperatura"""
3.2,"""energia""       ""eolica""        ""eolica""        ""onshore""       ""offshore""      ""turbina""      
""usinade vento"" ""rotor""         ""aerogerador""   ""conversor"""
3.3.,"""energia""    ""oce.nica""   ""mar.""       ""ondas""      ""poder""      ""gradiente""  ""salinidade""
"
3.4,"""biocombustivel""                      ""liquido""                            
""solido""                              ""biogas""                             
""biomassa""                            ""etanol""                             
""bioetanol""                           ""cana-de-acucar""                     
""bagaco""                              ""palha""                              
""bioeletricidade""                     ""gaseificacao""                       
""pirolise""                            ""residuo""                            
""glicerol""                            ""enzima""                             
""hidrolise""                           ""hidrolise enzimatica""               
""hidrolise""                           ""acida""                              
""lignocelulose""                       ""biocombustivel""                     
""segunda""                             ""geracaoo""                           
""biodiesel""                           ""oleos vegetais""                     
""oleaginosa""                          ""gordura anima""                      
""oleo de soja""                        ""transesterificacao""                 
""esterificacao""                       ""algas""                              
""microalga""                           ""biocombustivel de terceira geracao"" 
""biocombustiveis de terceira geracao"" ""biorreator"""
3.5,"""energia geotermica"" ""energia""            ""recurso""            ""hidrotermal""       
""energia""            ""recurso""            ""rocha""              ""seca""              
""quente""             ""rocha""              ""perfuracao""         ""exploracao"""
3.6,"""hidroeletricidade"" ""hidroeletrica""     ""pch""               ""uhe""               ""barragem"""
3.7,"""fontes""    ""energia""   ""renovavel"""
4.1,"""fissao nuclear""      ""uranio""              ""enriquecimento""      ""combustivel nuclear""
""reator""              ""nuclear""             ""usina nuclear""       ""pwr""                
""bwr""                 ""nuclear""             ""residuo""             ""radioisotopos""      
""regenardor nuclear"""
4.2,"""fusão""         ""nuclear""       ""fusão nuclear"""
5.1,"""hidrogenio""      ""producao""        ""armazenamento""   ""transporte""      ""distribuicao""   
""infra-estrutura"" ""sistema""        
"
5.2,"""celula a combustivel"" ""celula a combustao""   ""aplicao""              ""estacionaria""        
""movel""               
"
6.1,"""geração de energia eletrica""               ""tecnologia de geracao de energia eletrica""
""gerador de energia eletrica""               ""alternador""                               
""cogeracao""                                 ""caldeira""                                 
""energia eletrica"""
6.2,"""transmissao de eletricidade""  ""condutor""                     ""supercondutor""               
""conversor ac/dc""              ""distribuicao de eletricidade"" ""rede de energia eletrica""    
""rede inteligente""             ""carga eletrica""               ""sistema""                     
""controle""                     ""integracao"""
6.3,"""armazenamento"" ""energia""       ""eletrico""      ""termica""       ""bateria""       ""veiculo"""
7.1,"""energ""        ""sistema""      ""modelag""      ""planejamento"" ""algoritmo""    ""energia""      ""eletricidade"""
7.2,"""pesquisa""            ""basica""              ""energia""             ""pesquisa energetica"""
