 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"110001 Alta Floresta D'Oeste";5;4;4;13
"110040 Alto Paraíso";-;1;-;1
"110034 Alvorada D'Oeste";2;2;2;6
"110002 Ariquemes";18;12;17;47
"110004 Cacoal";7;9;12;28
"110070 Campo Novo de Rondônia";-;1;-;1
"110005 Cerejeiras";1;4;4;9
"110006 Colorado do Oeste";2;3;4;9
"110008 Costa Marques";4;1;2;7
"110009 Espigão D'Oeste";4;1;-;5
"110100 Governador Jorge Teixeira";-;-;2;2
"110010 Guajará-Mirim";5;4;4;13
"110011 Jaru";12;6;10;28
"110012 Ji-Paraná";25;18;22;65
"110013 Machadinho D'Oeste";4;5;4;13
"110140 Monte Negro";-;-;2;2
"110033 Nova Mamoré";-;4;2;6
"110015 Ouro Preto do Oeste";7;8;3;18
"110018 Pimenta Bueno";8;5;2;15
"110020 Porto Velho";45;38;33;116
"110025 Presidente Médici";2;4;4;10
"110028 Rolim de Moura";7;8;8;23
"110029 Santa Luzia D'Oeste";1;4;2;7
"110032 São Miguel do Guaporé";4;-;-;4
"110150 Seringueiras";-;-;4;4
"110160 Theobroma";-;1;-;1
"110170 Urupá";-;1;6;7
"110180 Vale do Paraíso";-;-;2;2
"110030 Vilhena";4;7;8;19
"120001 Acrelândia";2;-;-;2
"120005 Assis Brasil";1;-;-;1
"120010 Brasiléia";4;3;1;8
"120013 Bujari";-;-;1;1
"120017 Capixaba";-;-;1;1
"120020 Cruzeiro do Sul";13;21;22;56
"120025 Epitaciolândia";1;1;-;2
"120030 Feijó";4;3;5;12
"120033 Mâncio Lima";-;1;-;1
"120038 Plácido de Castro";3;1;4;8
"120040 Rio Branco";54;44;56;154
"120042 Rodrigues Alves";-;-;1;1
"120050 Sena Madureira";2;3;3;8
"120060 Tarauacá";1;1;-;2
"120070 Xapuri";2;-;1;3
"130002 Alvarães";-;-;2;2
"130008 Anamã";-;-;1;1
"130010 Anori";-;-;1;1
"130014 Apuí";-;1;3;4
"130020 Atalaia do Norte";-;3;-;3
"130040 Barcelos";1;1;-;2
"130050 Barreirinha";1;-;1;2
"130060 Benjamin Constant";-;1;-;1
"130063 Beruri";6;4;-;10
"130068 Boa Vista do Ramos";1;-;-;1
"130070 Boca do Acre";-;-;3;3
"130090 Canutama";-;3;2;5
"130100 Carauari";-;10;6;16
"130110 Careiro";2;2;1;5
"130115 Careiro da Várzea";-;1;1;2
"130120 Coari";3;-;1;4
"130130 Codajás";1;1;2;4
"130150 Envira";1;1;2;4
"130165 Guajará";-;-;1;1
"130170 Humaitá";5;4;3;12
"130180 Ipixuna";2;-;-;2
"130185 Iranduba";-;2;-;2
"130190 Itacoatiara";15;17;13;45
"130195 Itamarati";-;2;1;3
"130200 Itapiranga";1;-;1;2
"130240 Lábrea";9;7;5;21
"130250 Manacapuru";3;2;4;9
"130260 Manaus";255;251;220;726
"130270 Manicoré";-;1;3;4
"130290 Maués";4;6;3;13
"130300 Nhamundá";1;7;6;14
"130310 Nova Olinda do Norte";-;-;1;1
"130330 Novo Aripuanã";1;1;3;5
"130340 Parintins";7;5;8;20
"130353 Presidente Figueiredo";-;-;1;1
"130356 Rio Preto da Eva";-;-;2;2
"130360 Santa Isabel do Rio Negro";-;-;1;1
"130380 São Gabriel da Cachoeira";8;3;6;17
"130390 São Paulo de Olivença";5;-;3;8
"130406 Tabatinga";5;6;10;21
"130410 Tapauá";-;1;-;1
"130420 Tefé";5;5;1;11
"130440 Urucurituba";-;1;-;1
"130000 Município ignorado - AM";2;-;-;2
"140005 Alto Alegre";-;1;4;5
"140010 Boa Vista";34;37;38;109
"140015 Bonfim";1;1;3;5
"140020 Caracaraí";2;6;2;10
"140030 Mucajaí";2;-;4;6
"140040 Normandia";-;2;3;5
"140050 São João da Baliza";1;-;-;1
"140060 São Luiz";1;1;4;6
"150010 Abaetetuba";32;45;19;96
"150020 Acará";-;2;3;5
"150030 Afuá";4;6;3;13
"150040 Alenquer";2;2;1;5
"150060 Altamira";15;29;31;75
"150070 Anajás";1;-;1;2
"150080 Ananindeua";31;35;34;100
"150090 Augusto Corrêa";-;1;1;2
"150095 Aurora do Pará";1;-;-;1
"150100 Aveiro";1;-;-;1
"150110 Bagre";4;3;2;9
"150120 Baião";3;4;-;7
"150130 Barcarena";4;1;1;6
"150140 Belém";147;127;131;405
"150150 Benevides";1;3;-;4
"150160 Bonito";1;-;-;1
"150170 Bragança";1;1;1;3
"150172 Brasil Novo";1;-;3;4
"150175 Brejo Grande do Araguaia";-;-;1;1
"150180 Breves";23;28;23;74
"150190 Bujaru";-;1;-;1
"150210 Cametá";18;19;2;39
"150220 Capanema";7;5;7;19
"150230 Capitão Poço";2;6;7;15
"150240 Castanhal";24;23;19;66
"150250 Chaves";1;-;-;1
"150260 Colares";3;3;1;7
"150270 Conceição do Araguaia";1;3;4;8
"150275 Concórdia do Pará";2;3;4;9
"150276 Cumaru do Norte";2;-;-;2
"150277 Curionópolis";2;-;-;2
"150280 Curralinho";3;3;4;10
"150290 Curuçá";3;-;-;3
"150293 Dom Eliseu";2;-;-;2
"150300 Faro";1;-;-;1
"150307 Garrafão do Norte";1;-;3;4
"150309 Goianésia do Pará";1;-;-;1
"150310 Gurupá";3;8;-;11
"150320 Igarapé-Açu";7;2;2;11
"150330 Igarapé-Miri";8;5;2;15
"150340 Inhangapi";1;1;2;4
"150345 Ipixuna do Pará";-;-;1;1
"150350 Irituia";3;3;-;6
"150360 Itaituba";11;18;6;35
"150370 Itupiranga";8;4;3;15
"150375 Jacareacanga";2;1;1;4
"150380 Jacundá";-;-;1;1
"150390 Juruti";1;4;1;6
"150400 Limoeiro do Ajuru";-;1;1;2
"150405 Mãe do Rio";1;7;2;10
"150420 Marabá";15;10;26;51
"150430 Maracanã";2;2;1;5
"150440 Marapanim";3;2;3;8
"150445 Medicilândia";7;2;1;10
"150450 Melgaço";2;1;1;4
"150460 Mocajuba";1;1;1;3
"150470 Moju";2;9;9;20
"150480 Monte Alegre";1;4;4;9
"150490 Muaná";4;7;7;18
"150500 Nova Timboteua";-;-;1;1
"150506 Novo Repartimento";-;-;2;2
"150510 Óbidos";5;2;-;7
"150520 Oeiras do Pará";-;1;1;2
"150530 Oriximiná";7;7;5;19
"150540 Ourém";2;1;2;5
"150548 Pacajá";2;1;2;5
"150549 Palestina do Pará";-;1;-;1
"150550 Paragominas";13;21;17;51
"150553 Parauapebas";7;6;7;20
"150560 Peixe-Boi";-;1;1;2
"150570 Ponta de Pedras";2;1;-;3
"150580 Portel";6;6;2;14
"150590 Porto de Moz";3;3;4;10
"150600 Prainha";-;2;1;3
"150610 Primavera";4;6;2;12
"150613 Redenção";13;6;19;38
"150616 Rio Maria";3;1;3;7
"150618 Rondon do Pará";5;4;1;10
"150619 Rurópolis";6;3;1;10
"150620 Salinópolis";9;8;7;24
"150630 Salvaterra";4;6;1;11
"150640 Santa Cruz do Arari";1;-;-;1
"150650 Santa Izabel do Pará";1;6;11;18
"150655 Santa Luzia do Pará";3;4;-;7
"150658 Santa Maria das Barreiras";1;1;1;3
"150660 Santa Maria do Pará";-;2;-;2
"150670 Santana do Araguaia";1;-;-;1
"150680 Santarém";39;39;44;122
"150690 Santarém Novo";1;2;-;3
"150700 Santo Antônio do Tauá";-;-;2;2
"150710 São Caetano de Odivelas";2;2;1;5
"150715 São Domingos do Araguaia";-;-;1;1
"150730 São Félix do Xingu";1;1;3;5
"150745 São Geraldo do Araguaia";1;1;1;3
"150747 São João de Pirabas";3;3;-;6
"150760 São Miguel do Guamá";6;6;6;18
"150770 São Sebastião da Boa Vista";4;5;8;17
"150790 Soure";10;6;7;23
"150795 Tailândia";2;3;2;7
"150797 Terra Santa";1;1;4;6
"150800 Tomé-Açu";2;2;2;6
"150805 Trairão";1;-;-;1
"150808 Tucumã";1;1;-;2
"150810 Tucuruí";15;6;10;31
"150812 Ulianópolis";-;-;1;1
"150815 Uruará";1;4;2;7
"150820 Vigia";4;10;9;23
