 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1996-2012
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"110001 Alta Floresta D'Oeste";2;1;1;3;2;-;3;3;1;1;2;-;3;2;2;1;-;27
"110037 Alto Alegre dos Parecis";-;2;-;2;1;1;1;2;1;1;-;1;2;-;-;-;1;15
"110040 Alto Paraíso";3;2;3;-;-;-;-;-;2;1;-;-;2;1;1;2;-;17
"110034 Alvorada D'Oeste";3;2;-;-;-;2;1;-;1;1;1;1;2;1;-;-;1;16
"110002 Ariquemes";14;12;9;15;7;7;3;7;5;4;6;5;1;2;3;2;1;103
"110045 Buritis";-;1;5;4;2;2;4;2;4;4;4;2;2;1;-;1;1;39
"110003 Cabixi";-;1;2;-;1;-;-;1;-;-;-;-;1;-;1;-;-;7
"110060 Cacaulândia";1;2;2;1;-;-;1;1;-;-;1;1;-;-;-;-;1;11
"110004 Cacoal";10;13;7;12;3;3;2;11;3;2;5;1;6;3;1;1;4;87
"110070 Campo Novo de Rondônia";4;2;-;-;-;1;1;-;2;2;-;-;2;-;-;1;1;16
"110080 Candeias do Jamari";-;-;1;2;-;-;-;1;1;-;2;-;-;1;3;3;-;14
"110090 Castanheiras";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"110005 Cerejeiras";4;3;-;1;-;-;1;3;-;1;1;1;-;1;1;1;-;18
"110092 Chupinguaia";-;-;1;-;-;-;1;1;-;-;-;-;1;2;1;-;-;7
"110006 Colorado do Oeste";2;1;1;2;4;1;1;2;1;1;-;-;1;-;-;-;1;18
"110007 Corumbiara";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;4
"110008 Costa Marques";-;4;4;1;3;-;-;2;1;2;-;1;1;1;-;-;-;20
"110094 Cujubim";-;1;-;1;1;-;2;3;-;-;1;-;-;1;1;-;-;11
"110009 Espigão D'Oeste";5;1;2;3;4;3;5;2;1;2;1;-;2;1;2;2;2;38
"110100 Governador Jorge Teixeira";2;1;1;6;-;-;1;2;1;-;1;-;2;1;1;-;-;19
"110010 Guajará-Mirim";6;3;4;-;4;3;-;2;1;3;7;4;4;2;3;2;3;51
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;-;-;3;1;1;2;1;-;8
"110011 Jaru";3;4;8;5;6;4;2;2;5;4;2;2;4;1;1;4;1;58
