 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"110001 Alta Floresta D'Oeste";39;41;40;120
"110040 Alto Paraíso";-;7;8;15
"110034 Alvorada D'Oeste";17;22;26;65
"110002 Ariquemes";103;100;136;339
"110003 Cabixi";3;6;8;17
"110004 Cacoal";142;127;140;409
"110070 Campo Novo de Rondônia";-;2;6;8
"110090 Castanheiras";-;1;2;3
"110005 Cerejeiras";36;25;36;97
"110006 Colorado do Oeste";39;51;57;147
"110007 Corumbiara";-;3;4;7
"110008 Costa Marques";15;11;8;34
"110009 Espigão D'Oeste";18;21;29;68
"110100 Governador Jorge Teixeira";-;5;10;15
"110010 Guajará-Mirim";71;63;100;234
"110110 Itapuã do Oeste";-;1;-;1
"110011 Jaru";77;84;148;309
"110012 Ji-Paraná";180;191;311;682
"110013 Machadinho D'Oeste";22;20;17;59
"110120 Ministro Andreazza";-;-;4;4
"110130 Mirante da Serra";-;-;3;3
"110140 Monte Negro";-;3;8;11
"110014 Nova Brasilândia D'Oeste";11;1;3;15
"110033 Nova Mamoré";8;8;13;29
"110050 Novo Horizonte do Oeste";-;7;-;7
"110015 Ouro Preto do Oeste";77;94;99;270
"110018 Pimenta Bueno";56;63;76;195
"110020 Porto Velho";369;428;301;1098
"110025 Presidente Médici";38;30;74;142
"110026 Rio Crespo";-;1;4;5
"110028 Rolim de Moura";72;86;94;252
"110029 Santa Luzia D'Oeste";16;17;14;47
"110032 São Miguel do Guaporé";17;2;10;29
"110150 Seringueiras";-;1;9;10
"110160 Theobroma";-;-;2;2
"110170 Urupá";-;4;4;8
"110180 Vale do Paraíso";-;9;22;31
"110030 Vilhena";62;48;87;197
"110000 Município ignorado - RO";7;-;3;10
"120001 Acrelândia";-;3;-;3
"120005 Assis Brasil";4;-;1;5
"120010 Brasiléia";37;36;36;109
"120013 Bujari";3;1;3;7
"120017 Capixaba";2;-;-;2
"120020 Cruzeiro do Sul";135;144;125;404
"120025 Epitaciolândia";6;10;12;28
"120030 Feijó";27;34;19;80
"120033 Mâncio Lima";2;2;5;9
"120034 Manoel Urbano";-;1;5;6
"120035 Marechal Thaumaturgo";-;-;1;1
"120038 Plácido de Castro";8;12;23;43
"120080 Porto Acre";1;-;-;1
"120039 Porto Walter";1;-;-;1
"120040 Rio Branco";469;513;536;1518
"120042 Rodrigues Alves";3;-;-;3
"120043 Santa Rosa do Purus";1;-;2;3
"120050 Sena Madureira";43;46;47;136
"120045 Senador Guiomard";5;1;3;9
"120060 Tarauacá";16;30;10;56
"120070 Xapuri";19;24;25;68
"130002 Alvarães";1;1;1;3
"130006 Amaturá";1;-;-;1
"130008 Anamã";1;-;-;1
"130010 Anori";1;-;2;3
"130014 Apuí";-;2;7;9
"130020 Atalaia do Norte";-;2;3;5
"130030 Autazes";-;1;15;16
"130040 Barcelos";3;-;3;6
"130050 Barreirinha";4;-;2;6
"130060 Benjamin Constant";-;11;-;11
"130063 Beruri";2;7;6;15
"130068 Boa Vista do Ramos";4;6;10;20
"130070 Boca do Acre";27;18;33;78
"130080 Borba";-;1;1;2
"130083 Caapiranga";2;-;1;3
"130090 Canutama";5;3;8;16
"130100 Carauari";19;16;18;53
"130110 Careiro";1;4;14;19
"130115 Careiro da Várzea";-;1;3;4
"130120 Coari";14;11;19;44
"130130 Codajás";3;17;20;40
"130140 Eirunepé";1;-;-;1
"130150 Envira";3;8;12;23
"130165 Guajará";-;2;7;9
"130170 Humaitá";41;38;47;126
"130180 Ipixuna";6;4;3;13
"130185 Iranduba";4;1;5;10
"130190 Itacoatiara";135;140;108;383
"130195 Itamarati";-;1;-;1
"130200 Itapiranga";7;7;10;24
"130220 Juruá";-;6;-;6
"130230 Jutaí";-;-;1;1
"130240 Lábrea";41;41;30;112
"130250 Manacapuru";75;67;79;221
"130255 Manaquiri";-;1;-;1
"130260 Manaus";1997;2187;2337;6521
"130270 Manicoré";-;12;28;40
"130280 Maraã";1;3;-;4
"130290 Maués";85;79;76;240
"130300 Nhamundá";34;23;22;79
"130310 Nova Olinda do Norte";6;-;-;6
"130320 Novo Airão";-;-;1;1
"130330 Novo Aripuanã";-;22;11;33
"130340 Parintins";163;176;163;502
"130350 Pauini";1;-;1;2
"130353 Presidente Figueiredo";-;1;1;2
"130356 Rio Preto da Eva";-;2;1;3
"130380 São Gabriel da Cachoeira";18;12;22;52
"130390 São Paulo de Olivença";10;19;14;43
"130400 Silves";5;1;3;9
"130406 Tabatinga";20;18;10;48
"130410 Tapauá";4;6;3;13
"130420 Tefé";44;58;42;144
"130423 Tonantins";-;-;1;1
"130426 Uarini";1;3;1;5
"130430 Urucará";-;4;1;5
"130440 Urucurituba";13;22;3;38
"130000 Município ignorado - AM";14;-;-;14
"140005 Alto Alegre";1;2;11;14
"140010 Boa Vista";174;230;237;641
"140015 Bonfim";2;5;5;12
"140020 Caracaraí";5;9;11;25
"140030 Mucajaí";3;2;5;10
"140040 Normandia";-;2;5;7
"140050 São João da Baliza";4;4;6;14
"140060 São Luiz";4;2;4;10
"150010 Abaetetuba";211;222;200;633
"150013 Abel Figueiredo";1;7;1;9
"150020 Acará";4;7;8;19
"150030 Afuá";5;8;4;17
"150034 Água Azul do Norte";2;-;3;5
"150040 Alenquer";84;62;70;216
"150060 Altamira";104;120;106;330
"150070 Anajás";2;-;3;5
"150080 Ananindeua";568;536;578;1682
"150090 Augusto Corrêa";2;37;52;91
"150095 Aurora do Pará";6;12;8;26
"150100 Aveiro";3;3;3;9
"150110 Bagre";9;8;14;31
"150120 Baião";18;42;26;86
"150130 Barcarena";17;9;15;41
"150140 Belém";2863;2986;3099;8948
"150150 Benevides";29;9;17;55
"150157 Bom Jesus do Tocantins";7;3;-;10
"150160 Bonito";17;13;11;41
"150170 Bragança";159;198;224;581
"150172 Brasil Novo";9;5;10;24
"150175 Brejo Grande do Araguaia";2;5;7;14
"150178 Breu Branco";5;1;2;8
"150180 Breves";85;93;88;266
"150190 Bujaru";26;18;25;69
"150200 Cachoeira do Arari";21;16;26;63
"150210 Cametá";193;199;26;418
"150220 Capanema";153;131;140;424
"150230 Capitão Poço";40;46;46;132
"150240 Castanhal";279;274;277;830
"150250 Chaves";4;-;3;7
"150260 Colares";28;22;19;69
"150270 Conceição do Araguaia";34;29;45;108
"150275 Concórdia do Pará";19;24;18;61
"150277 Curionópolis";14;11;7;32
"150280 Curralinho";7;20;20;47
"150290 Curuçá";33;46;38;117
"150293 Dom Eliseu";11;10;14;35
"150295 Eldorado do Carajás";4;6;9;19
"150300 Faro";4;7;1;12
"150307 Garrafão do Norte";14;6;11;31
"150309 Goianésia do Pará";3;1;5;9
"150310 Gurupá";26;24;12;62
"150320 Igarapé-Açu";73;63;77;213
"150330 Igarapé-Miri";86;75;34;195
"150340 Inhangapi";18;14;17;49
"150345 Ipixuna do Pará";1;1;9;11
"150350 Irituia";32;23;26;81
"150360 Itaituba";84;110;25;219
"150370 Itupiranga";29;17;3;49
"150375 Jacareacanga";3;1;-;4
"150380 Jacundá";15;32;31;78
"150390 Juruti";49;46;33;128
"150400 Limoeiro do Ajuru";20;24;11;55
"150405 Mãe do Rio";31;43;43;117
"150410 Magalhães Barata";17;25;15;57
"150420 Marabá";117;86;206;409
"150430 Maracanã";80;41;47;168
"150440 Marapanim";47;35;25;107
"150445 Medicilândia";11;8;8;27
"150450 Melgaço";12;1;6;19
"150460 Mocajuba";17;2;1;20
"150470 Moju";68;63;45;176
"150480 Monte Alegre";80;73;92;245
"150490 Muaná";29;45;43;117
"150495 Nova Esperança do Piriá";1;1;4;6
"150500 Nova Timboteua";18;27;26;71
"150506 Novo Repartimento";6;8;12;26
"150510 Óbidos";94;62;31;187
"150520 Oeiras do Pará";8;11;17;36
"150530 Oriximiná";91;103;77;271
"150540 Ourém";28;32;30;90
"150543 Ourilândia do Norte";2;6;4;12
"150548 Pacajá";14;13;14;41
"150549 Palestina do Pará";9;6;1;16
"150550 Paragominas";42;54;46;142
"150553 Parauapebas";20;34;25;79
"150560 Peixe-Boi";3;2;5;10
"150570 Ponta de Pedras";22;44;28;94
"150580 Portel";39;40;27;106
"150590 Porto de Moz";9;8;16;33
"150600 Prainha";5;7;7;19
"150610 Primavera";56;55;58;169
"150613 Redenção";70;55;76;201
"150616 Rio Maria";19;23;17;59
"150618 Rondon do Pará";26;41;35;102
"150619 Rurópolis";17;17;24;58
"150620 Salinópolis";53;55;60;168
"150630 Salvaterra";27;27;26;80
"150635 Santa Bárbara do Pará";2;1;2;5
"150640 Santa Cruz do Arari";3;12;5;20
"150650 Santa Izabel do Pará";97;100;101;298
"150655 Santa Luzia do Pará";27;33;22;82
"150658 Santa Maria das Barreiras";1;5;6;12
"150660 Santa Maria do Pará";41;36;36;113
"150670 Santana do Araguaia";2;4;3;9
"150680 Santarém";460;509;480;1449
"150690 Santarém Novo";6;12;8;26
"150700 Santo Antônio do Tauá";35;33;32;100
"150710 São Caetano de Odivelas";31;38;27;96
"150715 São Domingos do Araguaia";7;7;3;17
"150720 São Domingos do Capim";16;24;21;61
"150730 São Félix do Xingu";11;14;14;39
"150740 São Francisco do Pará";23;18;22;63
"150745 São Geraldo do Araguaia";6;5;10;21
"150747 São João de Pirabas";31;46;41;118
"150750 São João do Araguaia";3;4;5;12
"150760 São Miguel do Guamá";15;20;14;49
"150770 São Sebastião da Boa Vista";14;30;25;69
"150780 Senador José Porfírio";8;6;3;17
"150790 Soure";56;66;41;163
"150795 Tailândia";10;14;7;31
"150796 Terra Alta";2;18;5;25
"150797 Terra Santa";30;23;27;80
"150800 Tomé-Açu";30;8;36;74
"150808 Tucumã";11;11;7;29
"150810 Tucuruí";85;45;71;201
"150812 Ulianópolis";1;-;2;3
"150815 Uruará";11;21;14;46
"150820 Vigia";98;84;84;266
"150830 Viseu";3;5;1;9
"150835 Vitória do Xingu";7;4;8;19
"150840 Xinguara";33;33;39;105
"150000 Município ignorado - PA";4;2;2;8
"160010 Amapá";-;7;1;8
"160020 Calçoene";3;1;1;5
"160021 Cutias";1;-;-;1
"160023 Ferreira Gomes";-;4;1;5
"160025 Itaubal";1;-;1;2
"160027 Laranjal do Jari";4;-;-;4
"160030 Macapá";343;352;407;1102
"160040 Mazagão";1;4;1;6
"160050 Oiapoque";-;3;4;7
"160015 Pedra Branca do Amapari";-;-;2;2
"160053 Porto Grande";2;5;8;15
"160060 Santana";72;101;83;256
"160005 Serra do Navio";1;4;1;6
"160070 Tartarugalzinho";1;-;-;1
"170025 Abreulândia";-;-;1;1
"170035 Aliança do Tocantins";4;11;16;31
"170040 Almas";10;4;1;15
"170070 Alvorada";20;22;31;73
"170100 Ananás";10;8;17;35
"170105 Angico";3;1;2;6
"170110 Aparecida do Rio Negro";1;-;5;6
"170130 Aragominas";4;2;5;11
"170190 Araguacema";7;2;18;27
"170200 Araguaçu";5;21;20;46
"170210 Araguaína";174;210;199;583
"170215 Araguanã";-;2;-;2
"170220 Araguatins";29;8;36;73
"170230 Arapoema";15;19;13;47
"170240 Arraias";9;9;5;23
"170255 Augustinópolis";13;19;22;54
"170270 Aurora do Tocantins";8;1;5;14
"170290 Axixá do Tocantins";7;1;2;10
"170300 Babaçulândia";7;9;7;23
"170310 Barrolândia";4;2;11;17
"170320 Bernardo Sayão";1;2;1;4
"170330 Bom Jesus do Tocantins";1;1;5;7
"170360 Brasilândia do Tocantins";-;1;2;3
"170370 Brejinho de Nazaré";6;12;9;27
"170380 Buriti do Tocantins";4;2;3;9
"170382 Cachoeirinha";2;2;2;6
"170386 Cariri do Tocantins";-;2;7;9
"170388 Carmolândia";2;1;-;3
"170389 Carrasco Bonito";1;3;3;7
"170390 Caseara";1;-;3;4
"170410 Centenário";2;2;1;5
"170550 Colinas do Tocantins";37;45;52;134
"171670 Colméia";19;9;22;50
"170555 Combinado";1;-;8;9
"170560 Conceição do Tocantins";2;2;-;4
"170600 Couto Magalhães";-;5;4;9
"170610 Cristalândia";18;15;18;51
"170650 Darcinópolis";-;-;2;2
"170700 Dianópolis";14;2;2;18
"170710 Divinópolis do Tocantins";4;2;2;8
"170720 Dois Irmãos do Tocantins";10;8;13;31
"170730 Dueré";4;3;5;12
"170740 Esperantina";1;-;3;4
"170755 Fátima";5;6;6;17
"170765 Figueirópolis";15;9;11;35
"170770 Filadélfia";25;21;14;60
"170820 Formoso do Araguaia";19;17;15;51
"170825 Fortaleza do Tabocão";1;-;2;3
"170830 Goianorte";2;3;3;8
"170900 Goiatins";20;15;28;63
"170930 Guaraí";34;33;23;90
"170950 Gurupi";152;125;121;398
"171050 Itacajá";6;9;14;29
"171070 Itaguatins";5;-;1;6
"171090 Itapiratins";3;4;1;8
"171110 Itaporã do Tocantins";7;5;6;18
"171150 Jaú do Tocantins";-;3;-;3
"171180 Juarina";-;-;2;2
"171190 Lagoa da Confusão";5;1;2;8
"171195 Lagoa do Tocantins";-;1;-;1
"171200 Lajeado";-;-;1;1
"171240 Lizarda";2;3;-;5
"171250 Marianópolis do Tocantins";3;1;1;5
"171270 Mateiros";-;1;-;1
"171280 Maurilândia do Tocantins";3;-;-;3
"171320 Miracema do Tocantins";24;22;44;90
"171330 Miranorte";10;1;17;28
"171360 Monte do Carmo";14;10;5;29
"171395 Muricilândia";-;-;7;7
"171420 Natividade";28;23;19;70
"171430 Nazaré";31;12;5;48
"171488 Nova Olinda";4;1;6;11
"171500 Nova Rosalândia";2;-;5;7
