 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: Menor 1 ano
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"110001 Alta Floresta D'Oeste";21;15;16;52
"110040 Alto Paraíso";-;2;10;12
"110034 Alvorada D'Oeste";17;17;31;65
"110002 Ariquemes";76;93;73;242
"110003 Cabixi";2;6;4;12
"110060 Cacaulândia";-;3;-;3
"110004 Cacoal";79;50;46;175
"110070 Campo Novo de Rondônia";-;4;10;14
"110090 Castanheiras";-;4;-;4
"110005 Cerejeiras";13;12;12;37
"110006 Colorado do Oeste";14;8;18;40
"110007 Corumbiara";-;-;2;2
"110008 Costa Marques";10;18;10;38
"110009 Espigão D'Oeste";9;6;8;23
"110100 Governador Jorge Teixeira";-;1;1;2
"110010 Guajará-Mirim";19;21;38;78
"110011 Jaru";58;57;56;171
"110012 Ji-Paraná";119;119;112;350
"110013 Machadinho D'Oeste";17;15;18;50
"110120 Ministro Andreazza";-;2;2;4
"110130 Mirante da Serra";-;3;4;7
"110140 Monte Negro";-;3;6;9
"110014 Nova Brasilândia D'Oeste";3;3;2;8
"110033 Nova Mamoré";1;3;4;8
"110050 Novo Horizonte do Oeste";-;1;4;5
"110015 Ouro Preto do Oeste";55;45;48;148
"110018 Pimenta Bueno";31;23;34;88
"110020 Porto Velho";129;95;66;290
"110025 Presidente Médici";22;19;28;69
"110026 Rio Crespo";-;-;2;2
"110028 Rolim de Moura";57;44;32;133
"110029 Santa Luzia D'Oeste";8;4;4;16
"110032 São Miguel do Guaporé";13;2;4;19
"110150 Seringueiras";-;2;4;6
"110160 Theobroma";-;1;2;3
"110170 Urupá";-;3;2;5
"110180 Vale do Paraíso";-;2;-;2
"110030 Vilhena";48;40;55;143
"110000 Município ignorado - RO";7;1;-;8
"120001 Acrelândia";2;-;-;2
"120005 Assis Brasil";-;-;1;1
"120010 Brasiléia";11;11;9;31
"120013 Bujari";-;-;1;1
"120017 Capixaba";1;-;1;2
"120020 Cruzeiro do Sul";52;75;39;166
"120025 Epitaciolândia";3;8;5;16
"120030 Feijó";9;23;23;55
