 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"110001 Alta Floresta D'Oeste";110;118;107;335
"110040 Alto Paraíso";-;25;29;54
"110034 Alvorada D'Oeste";62;79;89;230
"110002 Ariquemes";481;449;470;1400
"110003 Cabixi";15;19;22;56
"110060 Cacaulândia";-;5;6;11
"110004 Cacoal";375;301;323;999
"110070 Campo Novo de Rondônia";-;16;32;48
"110080 Candeias do Jamari";-;-;2;2
"110090 Castanheiras";-;11;5;16
"110005 Cerejeiras";88;75;78;241
"110006 Colorado do Oeste";104;103;119;326
"110007 Corumbiara";-;6;20;26
"110008 Costa Marques";53;59;49;161
"110009 Espigão D'Oeste";59;46;72;177
"110100 Governador Jorge Teixeira";-;15;29;44
"110010 Guajará-Mirim";140;136;213;489
"110110 Itapuã do Oeste";-;3;4;7
"110011 Jaru";295;290;402;987
"110012 Ji-Paraná";555;569;820;1944
"110013 Machadinho D'Oeste";78;71;97;246
"110120 Ministro Andreazza";-;6;8;14
"110130 Mirante da Serra";1;7;11;19
"110140 Monte Negro";-;14;37;51
"110014 Nova Brasilândia D'Oeste";22;7;17;46
"110033 Nova Mamoré";15;30;35;80
"110050 Novo Horizonte do Oeste";-;11;14;25
"110015 Ouro Preto do Oeste";267;239;253;759
"110018 Pimenta Bueno";169;173;212;554
"110020 Porto Velho";1248;1242;852;3342
"110025 Presidente Médici";99;101;184;384
"110026 Rio Crespo";-;4;6;10
"110028 Rolim de Moura";208;224;222;654
"110029 Santa Luzia D'Oeste";37;39;40;116
"110032 São Miguel do Guaporé";50;8;32;90
"110150 Seringueiras";-;9;44;53
"110160 Theobroma";-;6;10;16
"110170 Urupá";-;14;18;32
"110180 Vale do Paraíso";-;19;40;59
"110030 Vilhena";221;214;279;714
"110000 Município ignorado - RO";61;5;12;78
"120001 Acrelândia";5;5;5;15
"120005 Assis Brasil";9;2;4;15
"120010 Brasiléia";79;85;74;238
"120013 Bujari";4;3;7;14
"120017 Capixaba";4;-;4;8
"120020 Cruzeiro do Sul";323;370;315;1008
"120025 Epitaciolândia";20;28;22;70
"120030 Feijó";59;86;68;213
"120033 Mâncio Lima";3;4;12;19
"120034 Manoel Urbano";1;4;8;13
"120035 Marechal Thaumaturgo";2;1;4;7
"120038 Plácido de Castro";34;26;60;120
"120080 Porto Acre";3;1;3;7
"120039 Porto Walter";1;1;2;4
"120040 Rio Branco";1416;1465;1429;4310
"120042 Rodrigues Alves";6;1;2;9
"120043 Santa Rosa do Purus";1;-;4;5
"120050 Sena Madureira";96;98;82;276
"120045 Senador Guiomard";9;3;9;21
"120060 Tarauacá";37;62;28;127
"120070 Xapuri";33;45;41;119
"120000 Município ignorado - AC";-;-;1;1
"130002 Alvarães";2;2;5;9
"130006 Amaturá";1;-;1;2
"130008 Anamã";1;-;1;2
"130010 Anori";1;2;10;13
"130014 Apuí";1;16;34;51
"130020 Atalaia do Norte";-;18;14;32
"130030 Autazes";1;2;23;26
"130040 Barcelos";11;1;6;18
"130050 Barreirinha";5;2;4;11
"130060 Benjamin Constant";1;24;5;30
"130063 Beruri";16;16;12;44
"130068 Boa Vista do Ramos";9;9;12;30
"130070 Boca do Acre";38;38;52;128
"130080 Borba";2;1;3;6
"130083 Caapiranga";2;1;1;4
"130090 Canutama";16;13;20;49
"130100 Carauari";43;82;102;227
"130110 Careiro";8;12;27;47
"130115 Careiro da Várzea";2;6;9;17
"130120 Coari";58;52;53;163
"130130 Codajás";17;37;43;97
"130140 Eirunepé";8;-;1;9
"130150 Envira";10;34;40;84
"130160 Fonte Boa";1;-;-;1
"130165 Guajará";-;11;21;32
"130170 Humaitá";89;78;97;264
"130180 Ipixuna";20;10;5;35
"130185 Iranduba";10;12;22;44
"130190 Itacoatiara";319;322;271;912
"130195 Itamarati";1;10;8;19
"130200 Itapiranga";14;18;18;50
"130210 Japurá";1;-;1;2
"130220 Juruá";-;6;-;6
"130230 Jutaí";1;-;3;4
"130240 Lábrea";165;138;102;405
"130250 Manacapuru";129;126;167;422
"130255 Manaquiri";2;9;1;12
"130260 Manaus";5897;6377;6469;18743
"130270 Manicoré";1;22;49;72
"130280 Maraã";1;7;3;11
"130290 Maués";134;134;113;381
"130300 Nhamundá";73;56;42;171
"130310 Nova Olinda do Norte";8;2;5;15
"130320 Novo Airão";-;1;3;4
"130330 Novo Aripuanã";6;40;30;76
"130340 Parintins";239;278;246;763
"130350 Pauini";3;-;2;5
"130353 Presidente Figueiredo";2;10;8;20
"130356 Rio Preto da Eva";1;5;7;13
"130360 Santa Isabel do Rio Negro";-;2;8;10
"130370 Santo Antônio do Içá";-;1;1;2
"130380 São Gabriel da Cachoeira";67;39;73;179
"130390 São Paulo de Olivença";32;29;37;98
"130395 São Sebastião do Uatumã";-;1;5;6
"130400 Silves";6;1;7;14
"130406 Tabatinga";83;94;66;243
"130410 Tapauá";6;19;13;38
"130420 Tefé";107;122;76;305
"130423 Tonantins";-;2;1;3
"130426 Uarini";3;5;2;10
"130430 Urucará";1;8;8;17
"130440 Urucurituba";23;40;3;66
"130000 Município ignorado - AM";65;-;2;67
"140005 Alto Alegre";12;13;32;57
"140010 Boa Vista";684;828;786;2298
"140015 Bonfim";12;17;27;56
"140020 Caracaraí";18;35;30;83
"140030 Mucajaí";24;13;34;71
"140040 Normandia";6;8;21;35
"140050 São João da Baliza";19;10;12;41
"140060 São Luiz";8;8;22;38
"140000 Município ignorado - RR";-;3;3;6
"150010 Abaetetuba";447;481;429;1357
"150013 Abel Figueiredo";3;10;1;14
"150020 Acará";17;23;25;65
"150030 Afuá";29;29;13;71
"150034 Água Azul do Norte";3;7;6;16
"150040 Alenquer";139;100;122;361
"150050 Almeirim";12;6;10;28
"150060 Altamira";307;369;398;1074
"150070 Anajás";8;5;9;22
"150080 Ananindeua";1346;1357;1446;4149
"150090 Augusto Corrêa";4;57;69;130
"150095 Aurora do Pará";17;35;19;71
"150100 Aveiro";13;9;4;26
"150110 Bagre";27;18;30;75
"150120 Baião";36;63;44;143
"150130 Barcarena";63;50;54;167
"150140 Belém";5969;6278;6288;18535
"150150 Benevides";65;33;35;133
"150157 Bom Jesus do Tocantins";18;12;2;32
"150160 Bonito";23;19;14;56
"150170 Bragança";228;289;307;824
"150172 Brasil Novo";23;26;35;84
"150175 Brejo Grande do Araguaia";9;14;13;36
"150178 Breu Branco";18;11;14;43
"150180 Breves";217;266;239;722
"150190 Bujaru";41;30;35;106
"150200 Cachoeira do Arari";46;32;39;117
"150210 Cametá";369;327;56;752
"150220 Capanema";268;222;236;726
"150230 Capitão Poço";88;129;121;338
"150240 Castanhal";652;622;614;1888
"150250 Chaves";15;-;3;18
"150260 Colares";51;42;33;126
"150270 Conceição do Araguaia";90;67;111;268
"150275 Concórdia do Pará";41;64;45;150
"150276 Cumaru do Norte";14;1;2;17
"150277 Curionópolis";41;39;15;95
"150280 Curralinho";26;37;35;98
"150290 Curuçá";71;79;60;210
"150293 Dom Eliseu";51;34;42;127
"150295 Eldorado do Carajás";11;26;19;56
"150300 Faro";11;9;2;22
"150307 Garrafão do Norte";36;21;41;98
"150309 Goianésia do Pará";17;21;19;57
"150310 Gurupá";60;53;42;155
"150320 Igarapé-Açu";138;125;146;409
"150330 Igarapé-Miri";132;141;50;323
"150340 Inhangapi";32;21;29;82
"150345 Ipixuna do Pará";7;8;23;38
"150350 Irituia";68;49;39;156
"150360 Itaituba";345;415;67;827
"150370 Itupiranga";101;48;14;163
"150375 Jacareacanga";11;8;4;23
"150380 Jacundá";46;90;91;227
"150390 Juruti";78;71;47;196
"150400 Limoeiro do Ajuru";25;36;18;79
"150405 Mãe do Rio";89;125;97;311
"150410 Magalhães Barata";29;32;23;84
"150420 Marabá";377;241;569;1187
"150430 Maracanã";103;59;69;231
"150440 Marapanim";84;68;49;201
"150445 Medicilândia";50;40;28;118
"150450 Melgaço";33;7;17;57
"150460 Mocajuba";34;7;6;47
"150470 Moju";134;125;103;362
"150480 Monte Alegre";142;157;166;465
"150490 Muaná";63;89;74;226
"150495 Nova Esperança do Piriá";3;4;15;22
"150500 Nova Timboteua";38;45;39;122
"150503 Novo Progresso";5;1;-;6
"150506 Novo Repartimento";33;30;46;109
"150510 Óbidos";161;115;51;327
"150520 Oeiras do Pará";18;19;23;60
"150530 Oriximiná";195;188;165;548
"150540 Ourém";40;42;56;138
"150543 Ourilândia do Norte";15;30;11;56
"150548 Pacajá";47;43;30;120
"150549 Palestina do Pará";13;14;9;36
"150550 Paragominas";278;304;253;835
"150553 Parauapebas";117;142;137;396
"150555 Pau D'Arco";7;-;4;11
"150560 Peixe-Boi";9;7;9;25
"150570 Ponta de Pedras";43;64;45;152
"150580 Portel";84;78;64;226
"150590 Porto de Moz";25;31;45;101
"150600 Prainha";10;17;12;39
"150610 Primavera";88;92;94;274
"150613 Redenção";351;233;321;905
"150616 Rio Maria";83;70;79;232
"150618 Rondon do Pará";98;112;78;288
"150619 Rurópolis";56;61;61;178
"150620 Salinópolis";111;124;130;365
"150630 Salvaterra";56;57;48;161
"150635 Santa Bárbara do Pará";5;2;6;13
"150640 Santa Cruz do Arari";10;21;9;40
"150650 Santa Izabel do Pará";217;222;248;687
"150655 Santa Luzia do Pará";55;61;54;170
"150658 Santa Maria das Barreiras";10;16;14;40
"150660 Santa Maria do Pará";64;67;56;187
"150670 Santana do Araguaia";10;11;15;36
"150680 Santarém";1017;1126;984;3127
"150690 Santarém Novo";14;28;19;61
"150700 Santo Antônio do Tauá";50;56;56;162
"150710 São Caetano de Odivelas";52;64;44;160
"150715 São Domingos do Araguaia";12;10;6;28
"150720 São Domingos do Capim";30;42;35;107
"150730 São Félix do Xingu";68;40;42;150
"150740 São Francisco do Pará";28;36;34;98
"150745 São Geraldo do Araguaia";21;24;29;74
"150747 São João de Pirabas";53;70;64;187
"150750 São João do Araguaia";8;8;8;24
"150760 São Miguel do Guamá";48;66;82;196
"150770 São Sebastião da Boa Vista";28;63;56;147
"150780 Senador José Porfírio";14;15;10;39
"150790 Soure";131;136;115;382
"150795 Tailândia";55;64;36;155
"150796 Terra Alta";6;22;6;34
"150797 Terra Santa";52;38;50;140
"150800 Tomé-Açu";63;28;76;167
"150805 Trairão";4;1;-;5
"150808 Tucumã";51;37;36;124
"150810 Tucuruí";229;134;191;554
"150812 Ulianópolis";10;2;18;30
"150815 Uruará";60;55;50;165
"150820 Vigia";182;183;174;539
"150830 Viseu";13;16;11;40
"150835 Vitória do Xingu";15;12;18;45
"150840 Xinguara";102;82;102;286
"150000 Município ignorado - PA";13;5;12;30
"160010 Amapá";4;18;6;28
"160020 Calçoene";8;7;6;21
"160021 Cutias";1;2;-;3
"160023 Ferreira Gomes";2;8;4;14
"160025 Itaubal";2;-;2;4
"160027 Laranjal do Jari";23;4;1;28
"160030 Macapá";988;1083;1183;3254
"160040 Mazagão";9;13;12;34
"160050 Oiapoque";1;19;12;32
"160015 Pedra Branca do Amapari";1;9;5;15
"160053 Porto Grande";12;17;24;53
"160055 Pracuúba";-;2;1;3
"160060 Santana";175;266;247;688
"160005 Serra do Navio";6;24;6;36
"160070 Tartarugalzinho";2;2;3;7
"160000 Município ignorado - AP";1;-;-;1
"170025 Abreulândia";1;-;1;2
"170035 Aliança do Tocantins";13;28;29;70
"170040 Almas";13;6;6;25
"170070 Alvorada";46;38;51;135
"170100 Ananás";22;17;26;65
"170105 Angico";6;2;4;12
"170110 Aparecida do Rio Negro";3;-;7;10
"170130 Aragominas";5;8;8;21
"170190 Araguacema";13;6;29;48
"170200 Araguaçu";11;34;34;79
"170210 Araguaína";436;538;505;1479
"170215 Araguanã";3;2;2;7
"170220 Araguatins";70;26;70;166
"170230 Arapoema";25;34;41;100
"170240 Arraias";20;15;16;51
"170255 Augustinópolis";40;35;58;133
"170270 Aurora do Tocantins";14;6;8;28
"170290 Axixá do Tocantins";18;10;16;44
"170300 Babaçulândia";14;13;13;40
"170310 Barrolândia";11;4;18;33
"170320 Bernardo Sayão";5;6;4;15
"170330 Bom Jesus do Tocantins";1;2;7;10
"170360 Brasilândia do Tocantins";-;2;5;7
"170370 Brejinho de Nazaré";22;25;24;71
"170380 Buriti do Tocantins";12;7;7;26
"170382 Cachoeirinha";3;2;6;11
"170386 Cariri do Tocantins";2;4;12;18
"170388 Carmolândia";3;2;5;10
"170389 Carrasco Bonito";6;8;3;17
"170390 Caseara";8;3;9;20
"170410 Centenário";3;3;1;7
"170550 Colinas do Tocantins";81;103;124;308
"171670 Colméia";42;20;39;101
"170555 Combinado";6;5;14;25
"170560 Conceição do Tocantins";4;4;-;8
"170600 Couto Magalhães";4;15;9;28
"170610 Cristalândia";29;23;30;82
"170650 Darcinópolis";1;1;3;5
"170700 Dianópolis";27;7;7;41
"170710 Divinópolis do Tocantins";6;3;3;12
"170720 Dois Irmãos do Tocantins";16;11;20;47
