 Sistema de Informação de Atenção Básica - Cadastramento Familiar - Brasil
Nº Pessoas por Município e Ano
Modelo de Atenção: PSF
Período:Dez/1998, Dez/1999, Dez/2000, Dez/2001, Dez/2002, Dez/2003, Dez/2004, Dez/2005, Dez/2006, Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;5;5140;7531;15105;17608;16908;16413;16504;16732
"110037 Alto Alegre dos Parecis";-;1955;1994;3448;3413;3405;3300;3123;8357;10852;11500;11137;11501;11588;11320
"110040 Alto Paraíso";-;330;1486;1728;1728;1728;1166;2963;3257;6238;6791;6819;4019;6399;8179
"110034 Alvorada D'Oeste";-;2280;2280;3486;3490;4073;3765;3713;3938;2857;3603;3672;3822;4486;4696
"110002 Ariquemes";-;7955;9424;9344;9362;16009;28664;20531;44928;50810;47805;51851;48054;49484;53279
"110045 Buritis";-;-;167;1490;5654;7331;8338;12480;10018;4252;4050;6183;3564;3510;3539
"110003 Cabixi";-;-;1671;1646;1646;1565;1500;1512;3933;5676;7169;6996;7410;5590;5826
"110060 Cacaulândia";-;-;1231;1047;1344;1318;1319;1526;3036;2741;2561;2642;3091;3117;3434
"110004 Cacoal";-;11138;9568;19196;21409;21518;20504;19377;20116;20147;27132;11706;11706;24508;38461
"110070 Campo Novo de Rondônia";-;722;893;2289;1927;2899;3468;92;118;11953;11982;10642;10151;9500;9821
"110080 Candeias do Jamari";-;-;-;2538;6964;6584;8461;8467;9048;8961;8947;10294;12957;15105;15042
"110090 Castanheiras";-;-;3001;3389;2564;2564;2142;3965;4087;4044;3669;3693;3693;3694;3694
"110005 Cerejeiras";4959;13620;14197;14695;14688;14029;8880;12978;13367;13975;13973;14978;15598;14794;14791
"110092 Chupinguaia";-;-;-;-;724;724;724;2954;2960;1080;1080;1080;1321;7204;7313
"110006 Colorado do Oeste";-;-;132;77;77;77;77;7635;10904;11044;11044;8475;8431;11409;11412
"110007 Corumbiara";-;-;-;-;-;4299;4432;4155;4946;1821;2032;3299;3299;3300;2630
"110008 Costa Marques";-;-;-;1191;1191;1196;1196;1655;2379;5663;-;-;-;-;-
"110094 Cujubim";-;1058;1058;1579;1591;1056;4548;5414;8064;9385;8794;9500;8702;8826;8859
"110009 Espigão D'Oeste";-;2523;6809;7041;7243;7243;6236;6243;6243;5417;5595;5359;8592;7895;16022
"110100 Governador Jorge Teixeira";-;1011;1737;1786;679;2758;3177;3189;3102;1366;2111;1209;1256;5589;8290
"110010 Guajará-Mirim";-;-;2554;2554;2554;2868;4802;4802;4802;5245;5245;11768;16658;30731;30731
"110110 Itapuã do Oeste";-;328;370;2515;2453;2453;2453;2453;5335;3400;3730;3815;5350;4367;3474
"110011 Jaru";-;-;-;14681;14763;14719;9162;9109;10083;13338;24182;34699;52221;53665;53880
"110012 Ji-Paraná";-;-;6539;30010;30291;39711;35170;35170;53107;25821;25821;30444;20930;24608;17185
"110013 Machadinho D'Oeste";-;120;10073;9358;8071;5769;8609;12771;16769;23627;21279;21318;18473;19380;17207
"110120 Ministro Andreazza";-;-;-;-;-;-;-;-;-;2304;-;-;490;1700;5087
"110130 Mirante da Serra";-;-;2412;2647;2735;2928;5995;6010;5311;5367;8260;8288;8476;4570;4585
"110140 Monte Negro";-;-;2495;2975;2338;2342;4470;4579;5512;9177;9299;10395;-;-;186
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;24;4012;5126;11485;11065;9705;10652;-;10763
"110033 Nova Mamoré";-;-;1628;1723;1618;1618;3574;4587;1632;4603;5634;5994;5123;5060;9661
"110143 Nova União";-;-;909;909;1365;1365;1365;1365;2767;2811;2879;4319;4239;4326;4346
"110050 Novo Horizonte do Oeste";-;-;473;590;738;765;1133;2076;3072;2861;2710;3020;2968;3054;3110
"110015 Ouro Preto do Oeste";-;-;3607;4603;7394;9527;9535;7382;7502;20481;29342;34253;36130;35919;41571
"110145 Parecis";-;-;875;1241;1245;1245;1245;1466;1466;2566;2502;2650;2668;2672;740
"110018 Pimenta Bueno";-;3596;5120;7945;9579;10266;15281;18104;18773;21402;22378;22550;22749;9013;23333
"110146 Pimenteiras do Oeste";-;-;-;1017;1134;1187;2328;2316;2222;2257;2291;2284;-;1662;2065
"110020 Porto Velho";-;-;14306;30636;38191;36645;30665;38804;56410;76532;83540;148663;177671;208605;238967
"110025 Presidente Médici";-;-;3475;3475;5170;3136;2305;2930;3032;7641;8988;10646;13664;12461;12917
"110147 Primavera de Rondônia";-;-;1033;3928;3903;3804;3723;3723;3818;3734;3734;3564;3657;2168;3386
"110026 Rio Crespo";-;-;-;-;1254;1138;1953;1944;2937;3139;3253;3368;3226;3339;3128
"110028 Rolim de Moura";-;11186;11596;16213;15603;18194;18194;15597;15600;38282;42175;46148;49256;49672;50348
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;3455;3995;4949;4684;5785;5731;7444;7717;7231
"110148 São Felipe D'Oeste";-;-;2276;2276;3225;2653;2609;2606;2486;5843;-;3409;4667;5157;4588
"110149 São Francisco do Guaporé";-;-;3658;3912;-;-;-;6557;8323;6036;5950;8762;8768;8238;8634
"110032 São Miguel do Guaporé";-;-;7506;7315;4356;3521;3681;4393;5219;12828;15794;13613;12621;12526;13010
"110150 Seringueiras";-;-;2419;2793;4539;5317;5748;5214;5235;-;216;2182;2199;2020;6268
"110155 Teixeirópolis";-;997;1242;2344;2336;4996;5114;4989;4798;4347;4349;4385;4786;4666;4679
"110160 Theobroma";-;-;3995;3978;3977;6209;6099;6595;6502;9300;10031;8864;8183;9484;9325
"110170 Urupá";-;324;2063;1662;1215;1215;1352;2138;2068;3868;8382;10043;13809;12440;12364
"110175 Vale do Anari";-;2213;2338;-;-;-;-;9454;9742;7169;7098;8647;7915;7974;7974
"110180 Vale do Paraíso";-;-;1009;1057;775;1464;1774;2234;2413;5432;7478;4101;5433;5463;6230
"110030 Vilhena";-;-;3853;11372;11373;11367;31577;33786;30632;33641;33814;27305;38037;53944;47524
"120001 Acrelândia";-;-;3305;-;-;-;2540;8806;10585;12494;12776;13525;13624;14934;14529
"120005 Assis Brasil";-;-;-;-;-;2208;2102;3587;4009;4344;4610;5487;5337;6119;6051
"120010 Brasiléia";-;-;8678;11799;11126;14079;14945;15488;16325;16006;17744;17498;17321;16976;16770
"120013 Bujari";-;-;-;-;13;1910;2421;2503;2528;3523;3101;2850;3376;5346;6129
"120017 Capixaba";-;-;3644;3645;3647;1726;2637;5476;5211;5419;5421;5087;5517;5419;5671
"120020 Cruzeiro do Sul";14524;10748;25686;49280;49649;49606;44172;51742;51886;47519;54754;57904;58349;67261;53960
"120025 Epitaciolândia";-;1922;6504;7226;7290;8525;9728;11473;10688;10059;10311;10541;11960;12418;12535
"120030 Feijó";-;3190;3178;3578;3578;7718;5841;9621;10501;13940;14538;15091;14704;15875;16024
"120032 Jordão";-;-;-;-;-;-;-;-;-;1768;1768;3632;3661;3685;5354
"120033 Mâncio Lima";-;5378;8547;5326;8313;8321;8750;8765;8737;9303;8004;9563;12659;12194;12182
"120034 Manoel Urbano";-;2912;2966;3444;3425;3394;3360;5680;6353;7100;7421;7542;3950;3963;6378
"120035 Marechal Thaumaturgo";-;-;-;2213;2294;2810;2122;8907;11122;12777;14778;13702;14760;15277;15408
"120038 Plácido de Castro";-;-;-;-;-;-;6979;13356;15984;16931;17440;17094;16838;15563;16231
"120080 Porto Acre";-;8393;8289;8289;8289;8813;13644;14993;15911;18336;18410;17198;16425;17160;16204
"120039 Porto Walter";-;-;-;4591;3966;3966;3966;3771;3800;5945;5123;5897;5705;6550;6529
"120040 Rio Branco";-;-;58991;68817;69533;72993;72993;108850;115482;104039;149717;153130;141475;123337;183733
"120042 Rodrigues Alves";-;-;2673;2751;2751;3186;3388;4748;4835;4823;3859;6690;8315;9810;9810
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;-;1567;3902;4045;4507;4577;5068;5335
"120050 Sena Madureira";-;608;8868;14574;16038;17808;17386;18593;18754;18824;23960;24655;25239;25540;25522
"120045 Senador Guiomard";-;3301;3327;6128;8147;11122;10358;13003;14117;14487;18139;18577;18788;19063;19024
"120060 Tarauacá";-;-;3840;3984;4290;4280;4110;4635;18292;18916;21008;21882;27896;28403;30578
"120070 Xapuri";-;1795;1873;3550;3587;6942;6766;6788;6942;7172;7071;5017;5652;6389;7463
"130002 Alvarães";-;-;-;6654;564;564;3048;4555;4859;7133;7315;10318;10663;10815;9982
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;3958;4211;4239;4251
