 População Residente - Brasil
População residente por Município e Ano
Faixa Etária: 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos
Período:1993-2012
"Município";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"110001 Alta Floresta D'Oeste";20734;21563;22368;19188;14272;14627;14281;15820;16049;16240;16435;16629;17071;17295;18650;15760;15756;15889;15782;15679
"110037 Alto Alegre dos Parecis";-;-;-;-;5629;5764;5632;7433;7694;7890;8102;8314;8796;9039;9665;7362;7389;8089;8097;8103
"110040 Alto Paraíso";5366;5580;5788;6354;6618;6837;7091;7846;8191;8422;8692;8957;9567;9876;10516;10682;11021;10720;10914;11100
"110034 Alvorada D'Oeste";12407;12899;13383;11249;11104;10979;10836;11785;11749;11736;11713;11688;11638;11611;12220;10759;10648;10845;10700;10555
"110002 Ariquemes";37309;38798;40248;40581;42034;43152;43380;45281;46418;47431;48426;49424;51677;52831;56285;53918;54822;59447;60248;61023
"110045 Buritis";-;-;-;-;5939;6520;6892;15519;17008;18453;19813;21175;24257;25826;29367;22172;22905;20637;20965;21285
"110003 Cabixi";4942;5139;5332;4640;4333;4345;4362;4463;4455;4445;4440;4432;4413;4405;4662;4284;4233;4050;3990;3932
"110060 Cacaulândia";3324;3456;3586;2872;2851;2835;2814;3234;3225;3252;3257;3264;3283;3289;3489;3675;3719;3572;3587;3607
"110004 Cacoal";42356;44045;45692;43045;43518;43918;44371;45279;45542;45780;46010;46243;46769;47035;49973;51205;51749;52541;52799;53047
"110070 Campo Novo de Rondônia";2697;2805;2910;8752;3959;4345;4595;6656;7334;7837;8388;8935;10178;10810;11921;7783;7902;7966;8024;8081
"110080 Candeias do Jamari";4546;4726;4904;5813;6326;6757;7251;7413;7813;8093;8412;8728;9445;9813;10711;10271;10570;12255;12573;12880
"110090 Castanheiras";2735;2843;2950;2423;2405;2393;2374;2458;2444;2437;2429;2420;2399;2388;2519;2330;2316;2249;2221;2190
"110005 Cerejeiras";13820;14370;14909;12200;10992;10938;10876;10926;10809;10757;10680;10599;10421;10332;10889;10779;10741;11121;11062;11005
"110092 Chupinguaia";-;-;-;-;2371;2391;2414;3282;3388;3473;3561;3648;3852;3953;4152;4683;4843;5319;5456;5587
"110006 Colorado do Oeste";15754;16382;16995;14533;14342;14185;13999;13224;12939;12613;12330;12048;11406;11080;11388;11713;11512;12106;11942;11781
"110007 Corumbiara";7536;7834;8131;6337;5756;5650;5527;6120;6020;5946;5863;5783;5600;5506;5877;6261;6265;5773;5689;5607
"110008 Costa Marques";6177;6422;6664;7661;4476;4781;5797;5592;5850;6034;5617;5801;6218;6428;6899;8017;8349;8230;8436;8637
"110094 Cujubim";-;-;-;-;2424;2580;2551;3863;4123;4316;4528;4740;5217;5459;5858;8653;9209;9946;10396;10830
"110009 Espigão D'Oeste";14375;14948;15509;14249;14361;14459;14568;15698;15879;16023;16174;16326;16667;16842;17804;18384;18633;18735;18887;19035
"110100 Governador Jorge Teixeira";3939;4097;4250;5445;5911;6307;6711;7849;8340;8692;9082;9473;10358;10809;11660;7068;6985;6618;6467;6321
"110010 Guajará-Mirim";18576;19314;20037;20672;21345;21917;22546;21770;22132;22429;22733;23038;23727;24081;25699;24553;24829;25388;25556;25719
"110110 Itapuã do Oeste";2807;2920;3028;2934;2905;3008;3167;3847;4019;4148;4287;4429;4742;4906;5335;4845;4944;5232;5313;5394
"110011 Jaru";29506;30683;31831;27952;27742;27564;27363;32452;32180;32907;33118;33328;33805;34051;36009;34490;34653;33931;33850;33775
"110012 Ji-Paraná";60446;62858;65206;57553;57119;56754;56339;66215;66878;67389;67933;68477;69711;70340;74939;72927;73515;78014;78518;79006
"110013 Machadinho D'Oeste";9778;10169;10547;16816;15164;16643;17590;13535;14210;14715;15263;15811;17055;17685;18867;19823;20477;19628;20036;20427
"110120 Ministro Andreazza";5609;5830;6048;6151;6020;5911;5783;6643;6632;6622;6614;6607;6586;6573;6815;6528;6515;6533;6485;6438
"110130 Mirante da Serra";6918;7193;7464;6994;7284;7526;7805;7643;7732;7809;7884;7962;8135;8224;8681;7605;7600;7422;7361;7303
"110140 Monte Negro";3615;3759;3900;4982;5409;5769;6989;7404;7751;8113;8444;8773;9517;9898;10596;7731;7782;8674;8743;8811
"110014 Nova Brasilândia D'Oeste";9315;9686;10050;8837;8788;8745;8699;10150;10237;10309;10382;10455;10624;10708;11222;11005;11131;12925;12933;12939
"110033 Nova Mamoré";3592;3737;3878;7349;7998;8544;9168;8704;9242;9638;10070;10502;11483;11981;13246;13633;14166;13891;14259;14614
"110143 Nova União";-;-;-;-;3615;3607;3600;4812;4933;5025;5126;5225;5453;5568;5950;4927;4948;4783;4747;4713
"110050 Novo Horizonte do Oeste";7130;7416;7692;6391;6254;6140;6009;7327;7382;7435;7486;7535;7650;7710;8282;6403;6295;6604;6503;6405
"110015 Ouro Preto do Oeste";30957;32191;33400;30266;23714;23677;23636;24880;24850;24855;24843;24830;24803;24789;26200;24030;23871;24885;24736;24592
"110145 Parecis";-;-;-;-;2464;2462;2454;2099;2055;2031;1999;1966;1894;1855;1902;2862;2931;3068;3126;3183
"110018 Pimenta Bueno";30306;31513;32692;28392;18727;18694;18660;19536;19494;19479;19451;19423;19360;19329;20410;22112;22330;22441;22546;22649
"110146 Pimenteiras do Oeste";-;-;-;-;1340;1334;1330;1429;1437;1446;1455;1460;1479;1488;1618;1498;1513;1409;1396;1393
"110020 Porto Velho";167780;174470;180995;174007;177361;180135;183190;204178;208817;212220;215955;219679;228128;232433;248788;244423;248332;290685;295574;300299
"110025 Presidente Médici";18258;18985;19699;16325;16457;16564;16691;15903;15781;15721;15639;15554;15367;15269;16077;14711;14527;14454;14254;14059
"110147 Primavera de Rondônia";-;-;-;-;2429;2426;2418;2569;2575;2584;2591;2595;2610;2618;2758;2407;2392;2210;2171;2137
"110026 Rio Crespo";2957;3074;3188;3627;2556;2724;1775;1762;1833;1876;1929;1983;2101;2161;2362;2093;2126;2067;2083;2104
"110028 Rolim de Moura";27482;28577;29647;25662;25615;25573;25526;28707;28896;29141;29345;29546;30003;30237;32289;32491;32852;33711;33878;34040
"110029 Santa Luzia D'Oeste";7407;7705;7993;6403;6267;6151;6021;6954;6898;6862;6821;6777;6682;6632;7049;6195;6100;5850;5714;5580
"110148 São Felipe D'Oeste";-;-;-;-;3920;3910;3906;4320;4340;4357;4373;4392;4431;4448;4695;4190;4165;3884;3832;3784
"110149 São Francisco do Guaporé";-;-;-;-;4069;4345;3927;6544;7061;7434;8484;8914;9896;10395;11144;9789;10107;10104;10298;10482
"110032 São Miguel do Guaporé";8709;9057;9394;10703;11031;11305;14042;13929;14623;15145;15710;16272;17550;18204;19894;14465;14540;13980;14013;14042
"110150 Seringueiras";3613;3757;3894;4946;5164;5508;5862;6718;7151;7460;7830;8176;8955;9351;10306;7445;7537;7424;7420;7416
"110155 Teixeirópolis";-;-;-;-;2883;2879;2870;3308;3340;3355;3378;3397;3447;3470;3739;3222;3209;3088;3053;3018
"110160 Theobroma";4027;4188;4348;4865;5078;5259;5537;6705;7012;7251;7506;7758;8330;8622;9304;6481;6452;6703;6684;6657
"110170 Urupá";6461;6718;6968;7968;8296;8574;8892;8789;9069;9273;9499;9721;10232;10490;11294;8590;8543;8322;8228;8137
"110175 Vale do Anari";-;-;-;-;3857;4234;4474;4466;4758;4998;5241;5487;6044;6329;6725;5297;5403;5860;5938;6014
"110180 Vale do Paraíso";5323;5532;5742;5282;5302;5315;5333;5913;5970;6011;6057;6103;6208;6261;6693;5770;5754;5298;5217;5137
"110030 Vilhena";24249;25214;26158;26431;26174;26872;27646;33016;34196;35158;36152;37141;39389;40536;44056;44806;45991;50828;51986;53104
"120001 Acrelândia";2911;2970;3029;3394;3518;3618;3725;4246;4408;4522;4654;4780;6127;6307;6923;6904;7106;7392;7535;7671
"120005 Assis Brasil";1533;1565;1598;1478;1478;1478;1478;1872;1913;1938;1968;1996;2716;2764;3071;3299;3393;3506;3575;3641
"120010 Brasiléia";7881;8043;8199;7797;7794;7789;7780;9417;9621;9768;9933;10095;9809;9995;10534;11389;11658;12962;13229;13483
"120013 Bujari";1869;1907;1944;2268;2429;2565;2701;3164;3343;3465;3607;3748;4574;4752;5008;3730;3756;4929;5023;5111
"120017 Capixaba";1238;1263;1287;1539;1647;1741;1835;2795;2986;3122;3273;3425;3794;3975;4443;5180;5481;4980;5145;5304
"120020 Cruzeiro do Sul";22966;23437;23899;29026;30163;31117;32089;36230;37483;38449;39479;40504;45306;46587;49337;42444;42967;45333;45718;46090
"120025 Epitaciolândia";4132;4216;4300;4989;5211;5394;5584;6149;6390;6571;6768;6962;7682;7913;8553;8252;8476;9165;9342;9516
"120030 Feijó";8101;8267;8428;11081;11628;12086;12554;13661;14229;14623;15073;15517;19550;20124;22455;18049;18243;17194;17235;17273
"120032 Jordão";1890;1927;1965;1769;1701;1646;1587;1914;1930;1935;1947;1956;1992;2004;2122;2884;2996;3152;3229;3306
"120033 Mâncio Lima";3613;3687;3760;4407;4516;4606;4701;5757;5953;6111;6276;6441;6615;6805;7405;7956;8219;8409;8602;8786
"120034 Manoel Urbano";2093;2135;2178;2528;2620;2698;2775;3115;3218;3294;3374;3456;3733;3833;4061;3758;3833;4325;4394;4458
"120035 Marechal Thaumaturgo";3879;3957;4034;3441;3471;3498;3526;3769;3782;3790;3801;3808;3843;3856;4303;7056;7453;7026;7250;7468
"120038 Plácido de Castro";6577;6712;6841;6581;6543;6510;6478;8279;8459;8601;8749;8896;9110;9283;10158;10583;10850;9891;10001;10108
"120080 Porto Acre";5375;5485;5591;4546;4433;4340;4244;6218;6360;6478;6599;6717;6582;6717;7264;8328;8609;8507;8700;8881
"120039 Porto Walter";3097;3159;3222;2385;2296;2219;2139;2525;2472;2431;2387;2345;2283;2232;2349;4287;4474;4352;4481;4605
"120040 Rio Branco";107615;109826;111980;133156;139866;145451;151004;151052;156048;159816;163886;167940;182492;187503;199707;187585;191394;216295;220325;224222
"120042 Rodrigues Alves";3046;3108;3171;4236;4467;4662;4859;3999;4089;4151;4222;4290;4842;4935;5329;6870;7167;7506;7737;7959
"120043 Santa Rosa do Purus";307;311;318;737;791;834;880;933;1015;1069;1134;1196;1409;1487;1590;1785;1896;2360;2455;2545
"120050 Sena Madureira";11597;11837;12071;12335;12192;12069;11945;15353;15686;15926;16194;16458;17216;17542;18125;18895;19317;22281;22680;23064
"120045 Senador Guiomard";8301;8472;8638;7856;7764;7686;7610;10960;11275;11496;11744;11993;11371;11648;12619;11511;11696;11978;12101;12222
"120060 Tarauacá";10520;10737;10945;11518;11550;11576;11605;12899;13048;13169;13292;13419;15028;15214;16215;17538;17930;18519;18829;19129
"120070 Xapuri";5281;5390;5497;6858;7160;7415;7675;6364;6446;6510;6575;6645;7289;7395;7931;8437;8636;9341;9503;9659
"130002 Alvarães";4380;4483;4584;5974;6533;7001;7472;5669;5876;6030;6196;6362;6704;6894;7535;6759;6909;7128;7204;7275
"130006 Amaturá";2168;2220;2268;2989;3135;3257;3379;3605;3736;3872;3996;4119;4371;4515;5185;4864;5022;5265;5356;5448
"130008 Anamã";2843;2910;2974;3370;3479;3574;3664;3246;3280;3301;3328;3352;3409;3436;3774;4628;4790;5705;5863;6013
"130010 Anori";4010;4105;4195;5031;5195;5333;5471;5716;5858;5965;6078;6191;6428;6559;7329;8053;8309;9124;9340;9548
"130014 Apuí";3105;3179;3249;6063;6631;7106;7585;7746;8305;8701;9146;9588;10498;11005;12902;11545;11970;11510;11713;11909
"130020 Atalaia do Norte";3860;3948;4038;3765;3780;3789;3800;4869;4833;5080;5174;5274;5472;5583;6333;7830;8194;8572;8795;9009
"130030 Autazes";7871;8053;8234;13225;14192;15011;15829;12060;12471;12813;13165;13513;14231;14631;16604;17252;17836;17146;17465;17774
"130040 Barcelos";5863;6000;6136;8455;9244;9910;10579;12631;13430;14076;14748;15417;16793;17555;20715;15226;15533;15469;15540;15607
"130050 Barreirinha";7610;7790;7962;8976;9482;9909;10335;10533;10771;11146;11434;11716;12303;12627;14132;14271;14717;13582;13764;13941
"130060 Benjamin Constant";9449;9669;9885;11068;11693;12219;12744;11682;11982;12200;12442;12682;13177;13453;14800;16715;17293;17853;18270;18676
"130063 Beruri";3367;3447;3522;4242;4448;4624;4799;5181;5385;5536;5703;5868;6206;6391;7135;7405;7667;7712;7881;8047
"130068 Boa Vista do Ramos";3382;3462;3538;3870;3997;4104;4209;5051;5306;5352;5494;5635;5920;6079;7103;7630;7910;7928;8111;8287
"130070 Boca do Acre";12183;12468;12748;12531;12002;11556;11107;14204;14335;14419;14522;14622;14889;15005;16289;17702;18102;17422;17577;17729
"130080 Borba";7197;7368;7533;10994;11866;12599;13336;13504;14175;14637;15161;15686;16762;17360;20033;17224;17672;18897;19161;19415
"130083 Caapiranga";3258;3335;3410;3117;2879;2680;2479;4541;4667;4756;4854;4953;5157;5270;5963;6347;6566;6119;6212;6303
"130090 Canutama";5775;5907;6035;3874;3580;3330;3080;5684;5810;5526;5454;5380;5231;5147;5941;7486;7669;7714;8383;8471
"130100 Carauari";8875;9083;9287;9975;10180;10353;10525;11330;11569;11749;11945;12139;12537;12762;14331;14049;14366;13761;13859;13950
"130110 Careiro";15188;15544;15892;10971;9948;9086;8224;15051;14747;14560;14333;14106;13640;13382;14664;19820;20231;18825;19054;19276
"130115 Careiro da Várzea";9330;9545;9761;9204;8347;7624;6899;9429;9372;9328;9278;9232;9133;9079;9656;14178;14700;14112;14414;14706
"130120 Coari";17707;18123;18530;26683;28637;30282;31929;33993;35773;37023;38427;39829;42715;44314;49605;37153;37563;43855;44248;44628
"130130 Codajás";6189;6334;6476;7427;7589;7726;7860;8684;8902;9107;9302;9497;9898;10124;11364;9059;9097;13245;13494;13737
"130140 Eirunepé";9586;9809;10030;12035;12581;13039;13499;12799;13125;13386;13662;13934;14477;14788;16698;16808;17283;16546;16739;16924
"130150 Envira";7243;7415;7578;9290;9480;9640;9801;9255;9463;9534;9662;9791;6579;6675;7254;9050;9428;8766;8925;9080
"130160 Fonte Boa";7810;7993;8171;10129;10699;11180;11663;15563;16456;17129;17856;18580;18568;19334;22118;10937;10551;12252;12356;12455
"130165 Guajará";5190;5314;5430;5407;5083;4812;4541;6103;6165;6271;6346;6426;5569;5645;5974;7157;7424;7434;7547;7659
"130170 Humaitá";19565;20022;20470;12682;12148;11694;11242;16855;16471;16206;15907;15603;14988;14646;14971;21697;22240;25732;26242;26737
"130180 Ipixuna";4253;4353;4452;5215;5328;5424;5519;6665;6948;7150;7376;7598;7794;8041;8905;8776;9076;11275;11585;11885
"130185 Iranduba";9597;9824;10041;14261;15305;16184;17065;17620;18471;19162;19875;20589;22056;22870;26007;20049;20272;23015;23350;23672
"130190 Itacoatiara";29409;30098;30770;33568;34603;35474;36347;38570;39236;40070;40770;41465;42894;43689;47704;50946;52367;49585;50230;50854
"130195 Itamarati";3979;4069;4161;3943;3643;3390;3135;3888;3853;3822;3790;3761;3697;3663;4028;4324;4379;4296;4284;4268
"130200 Itapiranga";2506;2568;2624;3085;3235;3364;3487;3743;3881;3978;4086;4194;4417;4540;5111;5406;5608;4603;4640;4681
"130210 Japurá";5981;6124;6260;2874;2654;2470;2286;5451;5424;5397;5373;5345;6905;6942;7231;2783;2369;4047;4080;4115
"130220 Juruá";2119;2168;2215;2264;2091;1947;1803;3173;3805;3330;3403;3474;3623;3704;4124;4802;4992;5740;5911;6080
"130230 Jutaí";7131;7299;7459;8681;9171;9582;9997;9919;10295;10626;10954;11280;11951;12325;13721;8385;8235;8895;8970;9044
"130240 Lábrea";15798;16169;16529;13189;12634;12162;11692;14600;14333;14165;13963;13763;13349;13122;13816;20950;21636;21038;21413;21776
"130250 Manacapuru";27363;28004;28629;32505;33507;34351;35196;38393;39235;40205;41044;41883;43608;44565;49258;49143;50386;47916;48444;48954
"130255 Manaquiri";5321;5447;5566;9082;9803;10410;11017;6668;6791;6890;6989;7090;7300;7416;8088;11422;11948;12641;13071;13484
"130260 Manaus";623563;638173;652420;703864;725983;744614;763276;871147;899729;922560;946425;970215;1019156;1046318;1115082;1109168;1137853;1184971;1204968;1224312
"130270 Manicoré";18044;18471;18883;18232;17463;16811;16161;19111;19122;19130;19138;19149;19168;19177;21283;25993;26768;26452;26840;27215
"130280 Maraã";5088;5208;5323;6480;6755;6987;7222;8489;8787;9039;9290;9546;10068;10356;12672;10906;11154;9343;9362;9378
"130290 Maués";14216;14550;14873;17375;18162;18824;19489;19386;19920;20358;20809;21259;22185;22697;25668;26440;27192;27723;28222;28701
"130300 Nhamundá";5789;5924;6055;6695;6840;6964;7084;7478;7578;7693;7793;7893;8099;8212;9401;10172;10484;10098;10221;10343
"130310 Nova Olinda do Norte";5531;5663;5792;8273;8928;9482;10036;11429;12052;12522;13029;13534;14574;15151;17787;16858;17511;17265;17567;17857
"130320 Novo Airão";7654;7835;8008;7126;7282;7412;7545;4928;4656;4458;4240;4024;3575;3328;3266;8385;8751;8442;8665;8882
"130330 Novo Aripuanã";5624;5754;5883;7354;7667;7931;8194;8316;8634;8875;9137;9396;9930;10227;11443;10089;10317;12221;12410;12594
"130340 Parintins";28265;28928;29574;35374;36976;38325;39674;46412;48333;49809;51386;52959;56195;57989;65563;60431;62005;56599;57104;57594
"130350 Pauini";9808;10040;10260;9760;9959;10128;10299;8649;8681;8653;8656;8662;8667;8669;8484;9399;9522;9720;9766;9808
"130353 Presidente Figueiredo";4348;4449;4548;5886;6369;6774;7180;10139;11989;11402;11989;12575;13777;14445;16014;15917;16598;16303;16754;17189
"130356 Rio Preto da Eva";3513;3595;3675;5728;6196;6593;6986;9970;11192;11289;11904;12513;13770;14468;16583;16389;17171;15750;16134;16504
"130360 Santa Isabel do Rio Negro";8846;9048;9252;6333;5955;5637;5315;5359;5047;4838;4600;4361;3866;3591;3388;9315;9799;9093;9385;9666
"130370 Santo Antônio do Içá";8869;9075;9277;11341;11981;12519;13057;13170;13773;14249;14753;15252;16281;16852;19709;16238;16597;12940;13049;13157
"130380 São Gabriel da Cachoeira";12377;12666;12947;14727;15182;15564;15945;16234;16688;17011;17371;17729;18470;18879;20690;24057;25025;20877;21213;21538
