 População Residente - Brasil
População residente por Município e Ano
Faixa Etária: 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1993-2012
"Município";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"110001 Alta Floresta D'Oeste";1196;1245;1290;1410;1128;1157;1130;1486;1508;1526;1544;1561;1603;1625;2058;1765;1794;2087;2073;2060
"110037 Alto Alegre dos Parecis";-;-;-;-;335;343;336;571;591;606;623;638;676;696;905;701;715;962;963;964
"110040 Alto Paraíso";318;329;341;437;455;470;486;680;710;730;753;777;829;856;1011;1031;1064;1310;1333;1356
"110034 Alvorada D'Oeste";872;905;938;915;903;894;882;1184;1181;1180;1177;1173;1170;1167;1396;1247;1259;1511;1490;1471
"110002 Ariquemes";2202;2289;2374;2704;2801;2875;2890;3498;3584;3664;3742;3818;3993;4081;5054;4960;5177;6094;6176;6256
"110045 Buritis";-;-;-;-;291;320;338;764;837;909;975;1043;1194;1272;889;630;614;1967;1999;2029
"110003 Cabixi";387;400;415;453;429;430;432;555;555;553;553;552;548;547;706;666;682;646;637;628
"110060 Cacaulândia";197;204;212;226;225;224;222;271;271;272;273;273;275;275;357;376;389;499;501;504
"110004 Cacoal";3097;3223;3341;3599;3638;3672;3710;4312;4337;4359;4381;4404;4454;4479;5539;5829;6075;6476;6507;6538
"110070 Campo Novo de Rondônia";163;167;174;477;249;274;287;425;469;501;535;571;649;690;725;469;474;757;762;768
"110080 Candeias do Jamari";272;283;293;497;539;578;621;639;673;699;726;752;815;846;904;881;921;1323;1357;1390
"110090 Castanheiras";203;212;219;228;226;226;223;294;293;292;290;290;286;285;361;343;349;410;405;398
"110005 Cerejeiras";1076;1120;1161;1135;1040;1035;1029;1294;1280;1274;1263;1256;1235;1225;1572;1600;1642;1681;1672;1664
"110092 Chupinguaia";-;-;-;-;185;188;190;240;247;254;261;267;282;289;403;466;493;473;485;497
"110006 Colorado do Oeste";1165;1212;1257;1406;1388;1371;1355;1628;1592;1553;1517;1483;1404;1364;1681;1775;1792;2040;2011;1986
"110007 Corumbiara";557;579;602;472;440;434;422;566;556;550;541;535;519;509;644;693;705;729;719;708
"110008 Costa Marques";459;478;494;616;418;448;543;536;561;579;539;556;595;616;743;865;915;843;864;885
"110094 Cujubim";-;-;-;-;147;158;156;241;257;269;282;295;325;341;327;469;492;784;820;854
"110009 Espigão D'Oeste";1012;1053;1093;1151;1162;1168;1177;1445;1462;1475;1488;1503;1533;1550;1893;2010;2098;2295;2314;2332
"110100 Governador Jorge Teixeira";280;290;301;391;424;453;482;682;725;755;790;822;900;938;1101;671;664;924;903;883
"110010 Guajará-Mirim";1904;1979;2052;2100;2169;2227;2291;2320;2359;2391;2423;2455;2530;2566;2846;2774;2861;3082;3103;3122
"110110 Itapuã do Oeste";167;174;182;222;218;227;238;350;365;377;390;403;431;445;582;545;571;650;660;670
"110011 Jaru";2091;2176;2255;2303;2284;2271;2254;3051;3026;3094;3114;3134;3179;3202;4019;3947;4080;4252;4241;4232
"110012 Ji-Paraná";4393;4566;4736;4527;4493;4463;4432;5888;5948;5992;6041;6089;6199;6255;7444;7425;7693;8866;8923;8979
"110013 Machadinho D'Oeste";514;535;555;751;599;659;698;1031;1082;1120;1164;1204;1299;1348;1766;1908;2024;2102;2145;2188
"110120 Ministro Andreazza";412;426;444;538;527;517;506;659;659;657;656;655;653;653;792;771;787;884;878;871
"110130 Mirante da Serra";515;536;556;661;689;711;737;810;820;827;835;844;862;871;1030;920;940;1119;1110;1101
"110140 Monte Negro";212;222;230;356;386;412;500;659;690;721;751;780;848;881;1042;771;783;1160;1169;1178
"110014 Nova Brasilândia D'Oeste";663;691;714;769;765;762;756;1022;1032;1037;1046;1053;1069;1078;1317;1320;1364;1705;1706;1707
"110033 Nova Mamoré";268;279;288;526;573;612;656;655;695;725;758;791;865;902;969;998;1040;1368;1404;1439
"110143 Nova União";-;-;-;-;329;329;328;441;452;461;469;479;500;511;587;492;499;604;599;595
"110050 Novo Horizonte do Oeste";530;551;570;493;481;473;464;714;719;725;729;735;746;751;847;655;646;1000;985;970
"110015 Ouro Preto do Oeste";2311;2402;2492;2718;2060;2055;2052;2422;2419;2420;2419;2417;2414;2413;3036;2859;2927;3367;3346;3327
"110145 Parecis";-;-;-;-;143;143;142;169;165;164;161;157;153;150;200;306;321;345;352;358
"110018 Pimenta Bueno";2060;2143;2223;2318;1567;1566;1562;1834;1831;1828;1826;1823;1817;1814;2314;2592;2709;2578;2590;2602
